date,station_id,station_name,region_name,province_name,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ff_avg,temp_range,rain_3d,rain_7d,rain_change_1d,wind_change_1d,ddd_x_sin,ddd_x_cos,day_of_year_sin,day_of_year_cos,station_96855,missing_RR,missing_ff_x,missing_ff_avg,missing_RH_avg,anomaly_score,status
2018-05-31,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,21.0,30.2,25.2,81.0,0.0,9.8,4.0,2.0,9.2,0.0,14.8,0.0,0.0,-1.0,-1.8369701987210294e-16,0.5175855102531889,-0.8556314858488706,0,0,0,0,0,0.80405825,NORMAL
2018-06-01,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,19.0,30.0,24.2,80.0,0.0,9.9,3.0,2.0,11.0,0.0,4.8,0.0,-1.0,-1.0,-1.8369701987210294e-16,0.5027907197793043,-0.8644081744776648,0,0,0,0,0,0.7958837,NORMAL
2018-06-02,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,20.0,31.8,25.1,78.0,0.0,9.9,2.0,1.0,11.8,0.0,0.0,0.0,-1.0,1.0,6.123233995736766e-17,0.4878471454423119,-0.8729290708206411,0,0,0,0,0,0.7526389,NORMAL
2018-06-03,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,21.0,31.8,25.7,80.0,0.0,7.7,2.0,1.0,10.8,0.0,0.0,0.0,0.0,-0.3420201433256686,-0.9396926207859084,0.4727592092862775,-0.881191653407483,0,0,0,0,0,0.7429097,NORMAL
2018-06-04,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,22.0,32.5,25.7,85.0,0.0,8.2,5.0,1.0,10.5,0.0,0.0,0.0,3.0,-1.0,-1.8369701987210294e-16,0.4575313760742512,-0.8891934772070711,0,0,0,0,0,0.7783198,NORMAL
2018-06-05,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,23.0,33.3,26.5,82.0,0.0,8.2,3.0,1.0,10.299999999999995,0.0,0.0,0.0,-2.0,-1.0,-1.8369701987210294e-16,0.442168151967072,-0.8969321743510065,0,0,0,0,0,0.726544,NORMAL
2018-06-06,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,22.0,32.1,26.3,81.0,0.0,9.6,2.0,2.0,10.1,0.0,0.0,0.0,-1.0,-0.9396926207859084,0.342020143325669,0.4266740831899246,-0.9044054548343,0,0,0,0,0,0.70738053,NORMAL
2018-06-07,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,21.0,31.4,25.1,78.0,0.0,9.9,3.0,1.0,10.4,0.0,0.0,0.0,1.0,-0.9396926207859084,-0.3420201433256685,0.4110537546870351,-0.911611107193024,0,0,0,0,0,0.6773934,NORMAL
2018-06-08,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,23.0,30.8,25.6,84.0,0.0,8.7,3.0,1.0,7.800000000000001,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210294e-16,0.3953117887649151,-0.9185469991587164,0,0,0,0,0,0.6643769,NORMAL
2018-06-09,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,22.0,32.0,25.9,82.0,0.0,5.9,2.0,1.0,10.0,0.0,0.0,0.0,-1.0,-1.0,-1.8369701987210294e-16,0.3794528437245443,-0.925211078289358,0,0,0,0,0,0.62986314,NORMAL
